Temperature_C,Pressure_P,Message Number
26.27,97682.14,1041
26.27,97681.36,1042
26.27,97680.2,1043
26.27,97680.16,1044
26.28,97680.25,1045
26.28,97678.62,1046
26.28,97678.95,1047
26.28,97677.64,1048
26.28,97677.5,1049
26.28,97677.34,1050
26.28,97677.05,1051
26.28,97677,1052
26.28,97676.81,1053
26.28,97678.3,1054
26.28,97679.03,1055
26.28,97678.2,1056
26.28,97677.34,1057
26.28,97674.69,1058
26.28,97677.55,1059
26.28,97675.73,1060
26.28,97676.72,1061
26.28,97676.06,1062
26.28,97677,1063
26.28,97675.89,1064
26.28,97676.52,1065
26.28,97675.52,1066
26.28,97675.23,1067
26.28,97675.16,1068
26.28,97674.08,1069
26.29,97674.13,1070
26.29,97675.44,1071
26.29,97675.11,1072
26.29,97673.3,1073
26.28,97672.91,1074
26.29,97670.84,1075
26.29,97669.06,1076
26.29,97667.55,1077
26.3,97668.94,1078
26.3,97668.5,1079
26.3,97667.23,1080
26.3,97665.02,1081
26.3,97667.07,1082
26.3,97666.25,1083
26.3,97664.19,1084
26.3,97661.05,1085
26.3,97660.95,1086
26.3,97658.63,1087
26.3,97657.48,1088
26.3,97655.98,1089
26.3,97652.18,1090
26.3,97651.69,1091
26.3,97649.71,1092
26.3,97650.54,1093
26.3,97649.64,1094
26.3,97646.66,1095
26.31,97645.78,1096
26.31,97645.99,1097
26.31,97644.51,1098
26.31,97644.34,1099
26.31,97641.64,1100
26.31,97641.64,1101
26.3,97641.11,1102
26.31,97641.64,1103
26.3,97641.45,1104
26.31,97641.73,1105
26.31,97642.1,1106
26.31,97641.41,1107
26.32,97642.36,1108
26.32,97643.22,1109
26.33,97640.8,1110
26.33,97641.31,1111
26.33,97642.3,1112
26.33,97643.79,1113
26.33,97644.13,1114
26.32,97643.13,1115
26.32,97644.54,1116
26.33,97645.77,1117
26.32,97645.9,1118
26.32,97646.23,1119
26.32,97646.23,1120
26.32,97647.88,1121
26.32,97648.14,1122
26.32,97650.3,1123
26.32,97651.16,1124
26.32,97649.47,1125
26.32,97650.9,1126
26.32,97650.95,1127
26.32,97651.45,1128
26.32,97649.42,1129
26.32,97651.13,1130
26.32,97652.48,1131
26.32,97651.98,1132
26.32,97650.98,1133
26.32,97652.64,1134
26.32,97650.88,1135
26.32,97649.66,1136
26.32,97650.88,1137
26.32,97649.96,1138
26.32,97650.88,1139
26.32,97650,1140
26.32,97648.7,1141
26.32,97650.33,1142
26.32,97650.2,1143
26.33,97651.73,1144
26.32,97650.7,1145
26.33,97652.89,1146
26.33,97654.08,1147
26.33,97654.54,1148
26.33,97654.08,1149
26.33,97653.42,1150
26.33,97655.73,1151
26.33,97657.39,1152
26.33,97656.72,1153
26.33,97658.88,1154
26.33,97661.02,1155
26.33,97659.5,1156
26.33,97659.34,1157
26.33,97660.98,1158
26.33,97662.02,1159
26.33,97663.3,1160
26.33,97663.63,1161
26.33,97663.8,1162
26.32,97663.92,1163
26.32,97665.08,1164
26.32,97664.59,1165
26.32,97664.76,1166
26.32,97665.17,1167
26.32,97664.84,1168
26.32,97664.88,1169
26.32,97667.87,1170
26.32,97667.99,1171
26.32,97665.63,1172
26.32,97666.16,1173
26.32,97667.61,1174
26.32,97668.32,1175
26.32,97668.86,1176
26.32,97667.69,1177
26.32,97667.73,1178
26.32,97668.52,1179
26.32,97669.55,1180
26.32,97668.86,1181
26.32,97669.02,1182
26.32,97669.72,1183
26.32,97670.02,1184
26.32,97670.84,1185
26.32,97670.42,1186
26.32,97670.75,1187
26.32,97670.14,1188
26.32,97670.14,1189
26.32,97669.72,1190
26.32,97670.05,1191
26.32,97670.7,1192
26.32,97669.97,1193
26.32,97669.77,1194
26.32,97670.42,1195
26.32,97670.09,1196
26.32,97669.64,1197
26.32,97668.97,1198
26.31,97668.69,1199
26.32,97668.32,1200
26.32,97670.17,1201
26.32,97668.69,1202
26.32,97668.15,1203
26.31,97668.89,1204
26.31,97668.36,1205
26.31,97669.47,1206
26.31,97667.83,1207
26.31,97668.16,1208
26.31,97668.69,1209
26.31,97669.11,1210
26.31,97668.69,1211
26.31,97668.86,1212
26.31,97670.55,1213
26.31,97669.39,1214
26.31,97668.69,1215
26.31,97669.89,1216
26.31,97671.17,1217
26.31,97672.36,1218
26.31,97673.69,1219
26.31,97674.34,1220
26.31,97673.66,1221
26.31,97672.16,1222
26.31,97675.31,1223
26.31,97673.81,1224
26.31,97674.19,1225
26.31,97675.34,1226
26.31,97674.68,1227
26.31,97675.01,1228
26.31,97675.13,1229
26.31,97676.47,1230
26.31,97675.47,1231
26.3,97676.01,1232
26.31,97676.38,1233
26.31,97678.24,1234
26.31,97677.42,1235
26.31,97678.58,1236
26.31,97677.75,1237
26.3,97678.32,1238
26.3,97680.13,1239
26.3,97678.81,1240
26.3,97678.81,1241
26.3,97678.48,1242
26.3,97680.97,1243
